"id","date","focal.depth","magnitude","intensity","country","location.name","latitude","longitude","casualties","property.damage","factor"
5428,1996-01-01,24,7.9,6,"INDONESIA","INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",0.729,119.931,72,NA,"[7,8)"
5430,1996-02-03,11,6.6,9,"CHINA","CHINA:  YUNNAN PROVINCE:  LIJIANG",27.291,100.276,17379,NA,"[6,7)"
5433,1996-02-17,33,8.2,NA,"INDONESIA","INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",-0.891,136.952,587,NA,"[8,9)"
5435,1996-02-21,10,7.5,4,"PERU","PERU:  NORTHERN:  CHIMBOTE, CALLAO",-9.593,-79.587,69,37,"[7,8)"
6497,1996-02-25,21,7.1,NA,"MEXICO","MEXICO:  OFF COAST OF GUERRERO",15.978,-98.07,NA,NA,"[7,8)"
5436,1996-03-19,28,6.3,NA,"CHINA","CHINA:  S. XINJIANG:   ARTUX, JIASHI, BACHU, KASHI",39.993,76.696,152,NA,"[6,7)"
5437,1996-03-28,33,5.9,6,"ECUADOR","ECUADOR:  COTOPAXI, PASTAZA, TUNGURAHUA, AMBATO",-1.036,-78.737,NA,NA,"[5,6)"
5438,1996-04-29,44,7.2,NA,"SOLOMON ISLANDS","SOLOMON ISLANDS:  BOUGAINVILLE ISLAND",-6.518,154.999,NA,NA,"[7,8)"
5439,1996-05-03,26,6,8,"CHINA","CHINA:  NEI MONGOL:  BAOTOU, BEIJING, HOHHOT",40.774,109.661,353,NA,"[6,7)"
5440,1996-06-10,33,7.9,6,"USA","ALASKA:  ANDREANOF ISLANDS",51.564,-177.632,NA,NA,"[7,8)"
6498,1996-06-10,24,7.3,NA,"USA","ALASKA:  ANDREANOF ISLANDS",51.478,-176.847,NA,NA,"[7,8)"
6499,1996-09-04,33,5.7,NA,"JAPAN","HONSHU ISLAND, JAPAN",31.555,139.931,NA,NA,"[5,6)"
6500,1996-09-05,10,6.9,NA,"CHILE","CHILE:  EASTER ISLAND REGION",-22.118,-113.436,NA,NA,"[6,7)"
5441,1996-09-05,10,6,8,"CROATIA","BALKANS NW:  CROATIA:  STON, SLANO",42.803,17.936,NA,NA,"[6,7)"
10233,1996-09-05,20,6.8,NA,"TAIWAN","TAIWAN REGION",21.898,121.498,NA,NA,"[6,7)"
6332,1996-10-18,10,6.6,NA,"JAPAN","JAPAN:  KYUSHU ISLAND",30.568,131.093,NA,NA,"[6,7)"
6607,1996-10-19,22,6.7,NA,"JAPAN","JAPAN:  KYUSHU ISLAND",31.885,131.468,NA,NA,"[6,7)"
5442,1996-11-12,33,7.7,8,"PERU","PERU:  CHINCHA ALTA, ACARI, NAZCA, MARCONA",-14.993,-75.675,574,NA,"[7,8)"
6501,1996-12-02,49,6.7,NA,"JAPAN","JAPAN:  KYUSHU",31.789,131.314,NA,NA,"[6,7)"
5443,1997-01-09,22,5.8,7,"KYRGYZSTAN","KYRGYZSTAN:  DZHERGETAL, KOSHTEBE, KAZARMAN",41.026,74.284,NA,NA,"[5,6)"
5444,1997-01-11,33,7.2,NA,"MEXICO","MEXICO:  MICHOACAN, ARTEAGA",18.219,-102.756,NA,NA,"[7,8)"
5446,1997-01-21,33,5.9,NA,"CHINA","CHINA:  SOUTHERN XINJIANG:  JIASHI COUNTY",39.474,76.998,52,NA,"[5,6)"
5447,1997-02-04,10,6.5,8,"IRAN","IRAN:  BOJNURD, SHIRVAN, ESFARAYEN",37.661,57.291,2036,16500,"[6,7)"
5449,1997-02-27,33,7.1,NA,"PAKISTAN","PAKISTAN:  HARNAI-SIBI, QUETTA",29.976,68.208,NA,NA,"[7,8)"
5450,1997-02-28,10,6.1,7,"IRAN","IRAN:  ARDABIL",38.075,48.05,3700,NA,"[6,7)"
5452,1997-03-01,22,5.6,NA,"CHINA","CHINA:  S. XINJIANG, JIASHI COUNTY, KASHI",39.422,76.839,8,NA,"[5,6)"
5454,1997-03-26,10,6.1,6,"JAPAN","JAPAN:  KYUSHU, KAGOSHIMA",31.92,130.429,NA,NA,"[6,7)"
5455,1997-04-05,33,5.9,NA,"CHINA","CHINA:  S. XINJIANG, JIASHI COUNTY",39.513,76.865,NA,NA,"[5,6)"
5456,1997-04-06,33,6,NA,"CHINA","CHINA:  S. XINJIANG",39.537,76.998,NA,NA,"[6,7)"
5457,1997-04-11,15,6.2,NA,"CHINA","CHINA:  S. XINJIANG, BACHU, SHULE, YINGJISHA",39.527,76.941,98,NA,"[6,7)"
5458,1997-04-21,33,7.7,NA,"SOLOMON ISLANDS","SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU",-12.584,166.676,NA,NA,"[7,8)"
