"LONGITUDE","LATITUDE","CAMERA.ID","TOTAL"
-87.641989646,41.677923389,2404,169
-87.640650973,41.925597623,1631,223
-87.640650973,41.925597623,1632,118
-87.639639114,41.940241193,1413,2617
-87.639375813,41.867175125,2291,513
-87.63936916,41.940909163,1412,624
-87.639293195,41.867362693,2294,669
-87.632674115,41.889225372,1921,329
-87.632601648,41.889297219,1923,136
-87.631321248,41.896744347,1963,717
-87.631321248,41.896744347,1964,578
-87.630547476,41.794670385,2264,392
-87.625621311,41.736376037,2503,882
-87.625587569,41.73616511,2502,1172
-87.625522512,41.780008277,2712,358
-87.625289553,41.779949105,2714,656
-87.624902228,41.758092176,2621,825
-87.624690123,41.750918138,2651,485
-87.624671658,41.758074111,2624,958
-87.624463832,41.750852096,2654,2202
-87.620371839,41.891044569,1951,1039
-87.620371839,41.891044569,1952,266
-87.617046113,41.838534018,2123,230
-87.605729127,41.765800351,2571,115
-87.605729127,41.765800351,2572,226
-87.586442368,41.773292896,2721,600
-87.586234285,41.756897173,2631,1223
-87.586234285,41.756897173,2632,1098
-87.585971993,41.751460603,2462,124
-87.585632266,41.751339705,2461,47
-87.585592284,41.751611523,2464,207
-87.5852246,41.77325149,2731,483
-87.585003569,41.722449457,2513,127
-87.585003569,41.722449457,2514,223
-87.575499903,41.722375907,2522,172
-87.575292523,41.722579473,2523,98
